iter	Logloss
0	0.5425090954
1	0.4536142989
2	0.3896349375
3	0.3549437415
4	0.332053318
5	0.314146788
6	0.3008185402
7	0.2919868376
8	0.2851848904
9	0.2785232816
10	0.2755737014
11	0.2725117994
12	0.2700968403
13	0.2681405123
14	0.2663770117
15	0.2655323915
16	0.2645341674
17	0.2638395748
18	0.263311215
19	0.2628013897
20	0.2625549484
21	0.2618761152
22	0.2615967702
23	0.2612625749
24	0.2610632368
25	0.2607107139
26	0.2604464491
27	0.2602891254
28	0.2601409603
29	0.2599975178
30	0.2598682958
31	0.2597782071
32	0.2595994836
33	0.2594842328
34	0.2593778541
35	0.2593215712
36	0.259201911
37	0.2591191342
38	0.2590762654
39	0.2589865269
40	0.2588923312
41	0.2587978012
42	0.258727563
43	0.2586686801
44	0.2586129968
45	0.2585681593
46	0.2585346348
47	0.2584912141
48	0.2584373721
49	0.2583986421
50	0.2583689539
51	0.2583345962
52	0.2582604314
53	0.2582210594
54	0.2582024293
55	0.2581833535
56	0.2581548963
57	0.2581169941
58	0.2580746294
59	0.2580365362
60	0.2580036908
61	0.2579736418
62	0.2579318979
63	0.2578961394
64	0.2578369805
65	0.257795088
66	0.2577558327
67	0.2577224992
68	0.2576984568
69	0.257655259
70	0.2576302296
71	0.2575871061
72	0.2575683593
73	0.2575433299
74	0.2575172287
75	0.2574898752
76	0.2574712611
77	0.2574463962
78	0.2574206187
79	0.2573835814
80	0.2573639219
81	0.257323218
82	0.2573052141
83	0.257287762
84	0.2572623506
85	0.2572289639
86	0.2572008092
87	0.2571622119
88	0.257144728
89	0.2571164618
90	0.2570884291
91	0.2570620096
92	0.2570359826
93	0.2570173897
94	0.2569988074
95	0.2569742078
96	0.2569499479
97	0.2569285851
98	0.2569008071
99	0.2568826121
100	0.2568510615
101	0.2568197018
102	0.2568029448
103	0.2567827812
104	0.2567528383
105	0.2567329931
106	0.2567196427
107	0.2566952183
108	0.2566749008
109	0.2566594279
110	0.2566402938
111	0.2566365688
112	0.2566264711
113	0.2565902775
114	0.2565676837
115	0.2565520994
116	0.2565348701
117	0.2565198695
118	0.2565006345
119	0.2564812244
120	0.2564643454
121	0.2564445108
122	0.2564268836
123	0.2564138781
124	0.2563949403
125	0.2563773077
126	0.256347471
127	0.2563404827
128	0.2563201546
129	0.2563110651
130	0.2562906521
131	0.2562674853
132	0.2562461066
133	0.2562270308
134	0.2562015345
135	0.2561861783
136	0.2561665719
137	0.2561462598
138	0.2561295293
139	0.2561095037
140	0.2561025101
141	0.2560829037
142	0.2560726362
143	0.2560584952
144	0.2560530563
145	0.2560367291
146	0.2560154565
147	0.2559985881
148	0.255984601
149	0.2559665121
150	0.255948418
151	0.2559261107
152	0.2559072737
153	0.2558904159
154	0.2558664584
155	0.2558434613
156	0.2558389351
157	0.2558263647
158	0.255811433
159	0.255796252
160	0.2557814477
161	0.2557712386
162	0.2557499766
163	0.2557312988
164	0.2557189512
165	0.2557026824
166	0.2556889871
167	0.255672713
168	0.2556619785
169	0.2556592671
170	0.25565074
171	0.2556433856
172	0.2556304544
173	0.2556139149
174	0.2555814728
175	0.2555558492
176	0.2555268348
177	0.2555200323
178	0.255502092
179	0.2554920951
180	0.2554765798
181	0.2554602526
182	0.2554347935
183	0.2554188377
184	0.2554101514
185	0.2553881095
186	0.2553694635
187	0.2553543408
188	0.2553398336
189	0.2553291416
190	0.2553195746
191	0.2552940093
192	0.2552789609
193	0.2552549768
194	0.2552377158
195	0.2552154244
196	0.2551971605
197	0.2551821651
198	0.2551763761
199	0.2551635987
200	0.2551504446
201	0.2551341122
202	0.2551168829
203	0.2551010917
204	0.2550876723
205	0.255072852
206	0.2550531607
207	0.2550245868
208	0.2550168981
209	0.2550012926
210	0.2549818878
211	0.2549717052
212	0.2549453599
213	0.254933803
214	0.25491339
215	0.2548945636
216	0.2548834843
217	0.2548692902
218	0.2548633685
219	0.2548484527
220	0.2548326137
221	0.2548207862
222	0.2548149971
223	0.2548020977
224	0.2547855795
225	0.2547717728
226	0.2547605608
227	0.2547447324
228	0.2547320559
229	0.25471168
230	0.2547116694
231	0.2546986002
232	0.2546827135
233	0.25467217
234	0.2546572915
235	0.2546464031
236	0.2546311531
237	0.2546158925
238	0.2545981857
239	0.2545914945
240	0.2545868304
241	0.2545739257
242	0.2545607822
